Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1719764459.87,    -25.00,     29.00,    733.00,    514.00,    213.00,    231.00,     53.00
1719764459.91,    -14.00,     28.00,   1193.00,    515.00,    213.00,    226.00,     53.00
1719764459.94,    -14.00,     28.00,   1194.00,    514.00,    213.00,    231.00,     53.00
1719764459.97,    -14.00,     28.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764460.01,    -14.00,     28.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764460.04,    -14.00,     28.00,   1196.00,    514.00,    212.00,    231.00,     53.00
1719764460.07,    -14.00,     28.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764460.10,    -14.00,     28.00,   1188.00,    514.00,    213.00,    231.00,     53.00
1719764460.13,    -14.00,     28.00,   1189.00,    514.00,    213.00,    231.00,     53.00
1719764460.17,    -14.00,     28.00,   1193.00,    514.00,    212.00,    231.00,     52.00
1719764460.20,    -14.00,     28.00,   1188.00,    514.00,    213.00,    231.00,     53.00
1719764460.23,    -14.00,     28.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764460.26,    -26.00,     29.00,    716.00,    514.00,    213.00,    232.00,     53.00
1719764460.29,    -25.00,     29.00,    733.00,    514.00,    212.00,    231.00,     53.00
1719764460.32,      0.00,      0.00,    737.00,    514.00,    213.00,    231.00,     53.00
1719764460.35,      0.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764460.38,      0.00,      0.00,    733.00,    514.00,    213.00,    231.00,     53.00
1719764460.41,      0.00,      0.00,   1188.00,    514.00,    213.00,    231.00,     53.00
1719764460.45,      0.00,      0.00,   1189.00,    514.00,    213.00,    232.00,     53.00
1719764460.48,      0.00,      0.00,   1196.00,    514.00,    213.00,    231.00,     53.00
1719764460.51,      0.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764460.54,      0.00,      0.00,   1198.00,    514.00,    212.00,    231.00,     53.00
1719764460.57,      0.00,      0.00,    725.00,    514.00,    212.00,    231.00,     53.00
1719764460.60,      0.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764460.64,      0.00,      0.00,   1212.00,    514.00,    213.00,    231.00,     53.00
1719764460.67,      0.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764460.70,      0.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     52.00
1719764460.73,      0.00,      0.00,   1201.00,    513.00,    213.00,    231.00,     53.00
1719764460.77,      0.00,      0.00,   1196.00,    514.00,    213.00,    231.00,     53.00
1719764460.80,      0.00,      0.00,   1193.00,    514.00,    212.00,    231.00,     52.00
1719764460.83,      0.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764460.86,      0.00,      0.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764460.90,      0.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764460.93,      0.00,      0.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764460.96,      0.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     52.00
1719764461.00,      0.00,      0.00,   1197.00,    514.00,    213.00,    231.00,     53.00
1719764461.02,      0.00,      0.00,    228.00,    514.00,    213.00,    231.00,     53.00
1719764461.05,      0.00,      0.00,    151.00,    514.00,    213.00,    269.00,     53.00
1719764461.07,      0.00,      0.00,    144.00,    514.00,    212.00,    231.00,     53.00
1719764461.10,      0.00,      0.00,    154.00,    514.00,    212.00,    231.00,     53.00
1719764461.13,      0.00,      0.00,    157.00,    514.00,    212.00,    231.00,     53.00
1719764461.15,      0.00,      0.00,    395.00,    514.00,    213.00,    232.00,     53.00
1719764461.18,      0.00,      0.00,    157.00,    514.00,    213.00,    231.00,     53.00
1719764461.21,      0.00,      0.00,    151.00,    514.00,    213.00,    231.00,     53.00
1719764461.23,      0.00,      0.00,    145.00,    151.00,    213.00,    231.00,     53.00
1719764461.26,      0.00,      0.00,   1227.00,    514.00,    213.00,    231.00,     53.00
1719764461.29,      0.00,      0.00,    144.00,    506.00,    213.00,    232.00,     53.00
1719764461.32,      0.00,      0.00,    306.00,    506.00,    213.00,    231.00,     53.00
1719764461.34,      0.00,      0.00,    290.00,    505.00,    213.00,    231.00,     53.00
1719764461.37,      0.00,      0.00,    552.00,    487.00,    213.00,    231.00,     53.00
1719764461.40,      0.00,      0.00,    352.00,    523.00,    213.00,    231.00,     53.00
1719764461.43,      0.00,      0.00,    277.00,    522.00,    213.00,    231.00,     53.00
1719764461.45,      0.00,      0.00,    254.00,    547.00,    212.00,    232.00,     53.00
1719764461.48,    -28.00,      0.00,    288.00,    370.00,    213.00,    231.00,     53.00
