time RrLH FrLH Fr FrRH RrRH 
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.315e-02 2.447e+02 1.168e+02 2.921e+02 5.456e+02 1.054e+02
5.295e-02 2.453e+02 1.173e+02 3.053e+02 5.500e+02 1.055e+02
7.924e-02 2.452e+02 4.460e+01 2.790e+02 5.501e+02 1.056e+02
1.117e-01 2.446e+02 1.169e+02 3.052e+02 8.088e+02 1.060e+02
1.380e-01 2.451e+02 1.173e+02 3.049e+02 5.460e+02 1.054e+02
1.697e-01 2.395e+02 1.169e+02 3.052e+02 5.500e+02 1.059e+02
1.959e-01 2.454e+02 1.171e+02 3.051e+02 5.500e+02 1.062e+02
2.261e-01 2.449e+02 1.172e+02 3.047e+02 5.503e+02 1.058e+02
2.541e-01 2.451e+02 1.299e+02 3.052e+02 7.151e+02 1.057e+02
2.853e-01 2.546e+02 1.167e+02 3.054e+02 5.500e+02 1.067e+02
3.139e-01 2.452e+02 1.169e+02 3.052e+02 8.376e+02 1.150e+02
3.447e-01 2.437e+02 1.169e+02 3.055e+02 5.501e+02 1.055e+02
3.720e-01 2.455e+02 1.170e+02 2.921e+02 7.107e+02 1.060e+02
4.032e-01 2.451e+02 1.173e+02 2.921e+02 5.500e+02 1.060e+02
4.311e-01 2.452e+02 1.173e+02 2.824e+02 5.500e+02 2.900e+02
4.621e-01 2.456e+02 1.169e+02 2.921e+02 5.504e+02 1.059e+02
4.896e-01 2.452e+02 1.169e+02 3.054e+02 5.500e+02 2.107e+02
5.201e-01 2.080e+02 1.179e+02 2.922e+02 5.503e+02 1.058e+02
5.464e-01 2.535e+02 1.171e+02 2.926e+02 5.525e+02 1.057e+02
5.774e-01 2.454e+02 1.172e+02 2.922e+02 5.501e+02 1.148e+02
6.035e-01 2.449e+02 1.173e+02 2.926e+02 5.501e+02 1.057e+02
6.341e-01 2.434e+02 1.163e+02 3.054e+02 5.501e+02 1.059e+02
6.613e-01 2.453e+02 1.168e+02 3.053e+02 7.152e+02 1.057e+02
